name,gpu_chip,released,bus,memory,gpu_clock,memory_clock,shaders/TMUs/ROPs,TDP
Core i7-1165G7,Tiger Lake-U,4  / 8,2.8 to 4.7 GHz,BGA 1449,10 nm,12MB,28 W,28
Core i7-1185G7,Tiger Lake-U,4  / 8,3 to 4.8 GHz,BGA 1449,10 nm,12MB,28 W,28
Core i7-1195G7,Tiger Lake-U,4  / 8,2.9 to 5 GHz,BGA 1449,10 nm,12MB,28 W,28
Core i7-4558U,Haswell-ULT,2  / 4,2.8 to 3.3 GHz,BGA 1168,22 nm,4MB,28 W,28
Core i7-5557U,Broadwell-U,2  / 4,3.1 to 3.4 GHz,BGA 1168,14 nm,4MB,28 W,28
Core i7-8559U,Kaby Lake-R,4  / 8,2.7 to 4.5 GHz,BGA 1356,14 nm,8MB,28 W,28
Core i7-8565U,Whiskey Lake-U,4  / 8,1.8 to 4.6 GHz,BGA 1440,14 nm,8MB,28 W,28
Core m3-8114Y,Cannon Lake-Y,2  / 4,1500 MHz,BGA 1440,10 nm,4MB,28 W,28
Pentium III 1000,Coppermine T,1,1000 MHz,Socket 370,180 nm,N/A,29 W,29
Pentium III 1133,Tualatin,1,1133 MHz,Socket 370,130 nm,N/A,29 W,29
Pentium III 1133,Coppermine T,1,1133 MHz,Socket 370,180 nm,N/A,29 W,29
Pentium III 1133,Coppermine,1,1133 MHz,Socket 370,180 nm,N/A,29 W,29
Pentium III 1133S,Tualatin,1,1133 MHz,Socket 370,130 nm,N/A,29 W,29
Opteron 140 EE,SledgeHammer,1,1400 MHz,Socket 940,130 nm,N/A,30 W,30
Opteron 240 EE,SledgeHammer,1,1400 MHz,Socket 940,130 nm,N/A,30 W,30
Opteron 840 EE,SledgeHammer,1,1400 MHz,Socket 940,130 nm,N/A,30 W,30
Celeron P1053,Jasper Forest,1  / 2,1333 MHz,Socket 1366,45 nm,2MB,30 W,30
Pentium 4-M 1.60,Northwood,1,1600 MHz,Socket 478,130 nm,N/A,30 W,30
Pentium 4-M 1.70,Northwood,1,1700 MHz,Socket 478,130 nm,N/A,30 W,30
Pentium 4-M 1.80,Northwood,1,1800 MHz,Socket 478,130 nm,N/A,30 W,30
Pentium III 1000,Tualatin,1,1000 MHz,Socket 370,130 nm,N/A,30 W,30
Pentium III 1000S,Tualatin,1,1000 MHz,Socket 370,130 nm,N/A,30 W,30
Pentium III 1200,Tualatin,1,1200 MHz,Socket 370,130 nm,N/A,30 W,30
Pentium III 1266S,Tualatin,1,1266 MHz,Socket 370,130 nm,N/A,30 W,30
Pentium III 1333,Tualatin,1,1333 MHz,Socket 370,130 nm,N/A,30 W,30
Turion X2 RM-70,Griffin,2,2000 MHz,Socket S1,65 nm,N/A,31 W,31
Core Duo T2050,Yonah,2,1600 MHz,Socket 479,65 nm,N/A,31 W,31
Core Duo T2250,Yonah,2,1733 MHz,Socket 479,65 nm,N/A,31 W,31
Core Duo T2300,Yonah,2,1660 MHz,Socket 479,65 nm,N/A,31 W,31
Core Duo T2400,Yonah,2,1826 MHz,Socket 479,65 nm,N/A,31 W,31
Core Duo T2500,Yonah,2,1992 MHz,Socket 479,65 nm,N/A,31 W,31
Core Duo T2600,Yonah,2,2.166 GHz,Socket 479,65 nm,N/A,31 W,31
Core Duo T2700,Yonah,2,2.333 GHz,Socket 479,65 nm,N/A,31 W,31
Pentium III 1400,Tualatin,1,1400 MHz,Socket 370,130 nm,N/A,31 W,31
Athlon 64 2700+,NewCastle,1,1600 MHz,Socket 754,130 nm,N/A,32 W,32
Athlon 64 2800+,NewCastle,1,1800 MHz,Socket 754,130 nm,N/A,32 W,32
